customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0001,Male,0,No,Yes,56,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,18.61,1057.64,No
C0002,Female,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,65.13,4643.49,No
C0003,Male,0,No,No,6,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,29.89,161.42,No
C0004,Male,0,No,Yes,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),102.97,5653.46,No
C0005,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,113.85,7484.34,No
C0006,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,113.88,1729.01,No
C0007,Male,1,No,No,50,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,62.2,3117.0,No
C0008,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),82.45,5808.54,No
C0009,Male,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,77.97,938.57,No
C0010,Female,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),53.0,2722.71,No
C0011,Male,0,No,Yes,4,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,62.41,114.31,No
C0012,Male,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),24.43,611.65,No
C0013,Male,1,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,97.57,1124.82,Yes
C0014,Male,1,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),42.08,662.95,Yes
C0015,Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),64.05,238.51,No
C0016,Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.06,212.84,No
C0017,Female,0,Yes,No,56,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.07,4093.87,No
C0018,Female,0,Yes,No,27,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),99.79,2665.57,Yes
C0019,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.19,5915.83,No
C0020,Male,0,Yes,No,58,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),84.31,4914.67,No
C0021,Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,70.67,2267.86,No
C0022,Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),27.6,1692.42,No
C0023,Female,1,No,No,49,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,58.2,2940.77,Yes
C0024,Female,1,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,113.73,2090.18,Yes
C0025,Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,117.55,8032.04,No
C0026,Female,0,Yes,Yes,65,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.05,5827.59,No
C0027,Female,0,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.75,1836.91,No
C0028,Female,0,Yes,No,38,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),28.19,991.37,No
C0029,Female,0,Yes,Yes,67,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),59.48,3946.71,No
C0030,Female,1,Yes,No,32,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),103.66,3356.86,No
C0031,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,90.19,1062.64,No
C0032,Male,1,No,No,53,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.39,5692.29,No
C0033,Female,1,Yes,No,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.58,512.14,Yes
C0034,Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.03,405.91,No
C0035,Female,0,No,No,18,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,29.48,585.44,Yes
C0036,Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,22.8,1276.62,No
